2,0.000151
3,0.000190
4,0.000202
5,0.000439
6,0.000564
7,0.000344
8,0.000432
9,0.000377
10,0.000553
11,0.000998
12,0.000602
13,0.000937
14,0.000769
15,0.000929
16,0.000887
17,0.000877
18,0.000919
19,0.001258
20,0.001131
21,0.001200
22,0.001187
23,0.001384
24,0.001311
25,0.001415
26,0.001175
27,0.001375
28,0.001302
29,0.001462
30,0.002691
31,0.001426
32,0.001465
33,0.001910
34,0.001456
35,0.001441
36,0.001871
37,0.001791
38,0.001642
39,0.001791
40,0.001847
41,0.001571
42,0.001736
43,0.001673
44,0.001872
45,0.001947
46,0.002203
47,0.002096
48,0.002273
49,0.002919
50,0.001912
51,0.001999
52,0.002129
53,0.002254
54,0.002280
55,0.002026
56,0.002246
57,0.002266
58,0.002269
59,0.002372
60,0.002342
61,0.002349
62,0.002435
63,0.002565
64,0.002603
65,0.002722
66,0.002880
67,0.002710
68,0.003067
69,0.002628
70,0.002674
71,0.003020
72,0.002771
73,0.002727
74,0.002801
75,0.002993
76,0.002822
77,0.003252
78,0.003089
79,0.003029
80,0.003160
81,0.003587
82,0.003525
83,0.003709
84,0.003311
85,0.003339
86,0.003318
87,0.003529
88,0.003524
89,0.003284
90,0.003482
91,0.005291
92,0.003799
93,0.003518
94,0.008404
95,0.003837
96,0.003899
97,0.003675
98,0.003850
99,0.003731
